Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,1620.000000,1633.650024,1520.000000,1528.750000,1506.913940,135352
2020-03-11,1549.349976,1560.000000,1503.550049,1535.500000,1513.567505,62857
2020-03-12,1490.550049,1499.349976,1352.949951,1416.099976,1395.872925,108161
2020-03-13,1253.250000,1445.000000,1132.900024,1411.949951,1391.782227,120547
2020-03-16,1409.800049,1409.800049,1252.000000,1272.599976,1254.422607,131047
2020-03-17,1258.000000,1280.099976,1206.050049,1236.050049,1218.394775,131870
2020-03-18,1260.000000,1274.800049,1111.000000,1155.199951,1138.699585,118477
2020-03-19,1075.550049,1249.000000,1041.050049,1188.099976,1171.129517,176489
2020-03-20,1212.000000,1269.000000,1155.050049,1233.849976,1216.226196,147417
2020-03-23,1050.000000,1149.949951,995.000000,1018.250000,1003.705688,84748
2020-03-24,1031.050049,1195.000000,1026.349976,1153.349976,1136.875977,129924
2020-03-25,1103.000000,1179.000000,1103.000000,1160.449951,1143.874512,147901
2020-03-26,1189.000000,1189.000000,1070.000000,1100.250000,1084.534424,206225
2020-03-27,1120.000000,1200.000000,1060.150024,1174.900024,1158.118164,203775
2020-03-30,1141.000000,1185.000000,1096.750000,1173.599976,1156.836670,131422
2020-03-31,1175.000000,1185.000000,1129.250000,1161.250000,1144.663086,173325
2020-04-01,1170.250000,1235.000000,1109.000000,1181.099976,1164.229614,309547
2020-04-03,1181.099976,1181.099976,1085.000000,1107.599976,1091.779419,345961
2020-04-07,1148.000000,1149.550049,1097.050049,1108.750000,1092.913086,247159
2020-04-08,1116.949951,1147.949951,1100.000000,1104.500000,1088.723755,89214
2020-04-09,1130.000000,1193.000000,1115.000000,1173.849976,1157.083130,181798
2020-04-13,1195.000000,1195.000000,1125.000000,1155.849976,1139.340332,97383
2020-04-15,1200.000000,1240.000000,1158.000000,1214.849976,1197.497559,144427
2020-04-16,1207.500000,1235.000000,1194.750000,1225.300049,1207.798340,115869
2020-04-17,1242.000000,1270.000000,1215.099976,1260.150024,1242.150513,103971
2020-04-20,1270.000000,1295.000000,1253.349976,1274.949951,1256.739136,298622
2020-04-21,1261.000000,1261.000000,1205.099976,1214.500000,1197.152466,97178
2020-04-22,1220.000000,1224.699951,1170.050049,1178.599976,1161.765381,168575
2020-04-23,1178.599976,1188.400024,1148.599976,1158.849976,1142.297363,140573
2020-04-24,1160.000000,1167.449951,1142.000000,1155.300049,1138.798218,131299
2020-04-27,1175.250000,1192.000000,1152.849976,1176.550049,1159.744751,105337
2020-04-28,1188.949951,1190.550049,1137.000000,1153.750000,1137.270264,96508
2020-04-29,1151.050049,1184.050049,1147.050049,1161.550049,1144.958984,117670
2020-04-30,1185.000000,1253.599976,1161.099976,1235.250000,1217.606079,327649
2020-05-04,1200.000000,1210.000000,1168.050049,1185.750000,1168.813232,67529
2020-05-05,1204.000000,1215.650024,1174.099976,1176.199951,1159.399536,46069
2020-05-06,1192.000000,1214.000000,1176.500000,1189.250000,1172.263184,51164
2020-05-07,1190.000000,1208.800049,1162.199951,1185.500000,1168.566772,107123
2020-05-08,1198.000000,1206.949951,1162.099976,1167.400024,1150.725342,80776
2020-05-11,1172.099976,1201.000000,1172.099976,1179.500000,1162.652466,91214
2020-05-12,1179.000000,1179.000000,1125.000000,1128.849976,1112.725952,152859
2020-05-13,1159.699951,1159.699951,1098.000000,1101.199951,1085.470825,216823
2020-05-14,1101.199951,1123.849976,1090.300049,1113.949951,1098.038818,117960
2020-05-15,1126.000000,1126.000000,1065.500000,1068.400024,1053.139404,198464
2020-05-18,1105.000000,1140.000000,1090.000000,1107.650024,1091.828857,443122
2020-05-19,1118.800049,1145.849976,1115.000000,1125.000000,1108.930908,194622
2020-05-20,1143.000000,1175.000000,1135.000000,1160.000000,1143.431030,196273
2020-05-21,1168.400024,1168.949951,1121.550049,1125.349976,1109.276001,96161
2020-05-22,1130.000000,1141.449951,1088.099976,1122.650024,1106.614502,68579
2020-05-26,1124.050049,1146.000000,1124.000000,1137.550049,1121.301758,58622
2020-05-27,1141.000000,1143.849976,1115.449951,1121.650024,1105.628784,71847
2020-05-28,1133.300049,1137.199951,1121.349976,1129.800049,1113.662476,45404
2020-05-29,1125.000000,1191.000000,1125.000000,1171.300049,1154.569702,177649
2020-06-01,1182.050049,1207.000000,1166.000000,1188.199951,1171.228149,153012
2020-06-02,1193.000000,1233.000000,1176.500000,1204.199951,1186.999634,159982
2020-06-03,1225.000000,1238.500000,1208.250000,1230.500000,1212.924072,80426
2020-06-04,1232.000000,1294.900024,1226.449951,1279.099976,1260.829834,195408
2020-06-05,1291.000000,1339.050049,1286.300049,1331.349976,1312.333496,142173
2020-06-08,1345.000000,1359.949951,1317.150024,1329.750000,1310.756348,250902
2020-06-09,1339.750000,1391.099976,1330.000000,1365.800049,1346.291504,184115
2020-06-10,1379.000000,1385.000000,1325.000000,1338.900024,1319.775635,39804
2020-06-11,1339.949951,1365.000000,1305.250000,1317.750000,1298.927734,76200
2020-06-12,1260.000000,1354.000000,1254.000000,1339.099976,1319.972778,174304
2020-06-15,1348.000000,1358.050049,1303.000000,1309.599976,1290.894165,83363
2020-06-16,1329.949951,1344.900024,1280.000000,1311.199951,1292.471313,85808
2020-06-17,1296.500000,1329.000000,1291.099976,1317.500000,1298.681274,58738
2020-06-18,1318.199951,1345.000000,1301.500000,1334.500000,1315.438599,81363
2020-06-19,1341.000000,1351.949951,1320.599976,1343.050049,1323.866455,77745
2020-06-22,1343.000000,1352.349976,1295.000000,1299.699951,1281.135620,102245
2020-06-23,1301.000000,1312.949951,1280.000000,1297.400024,1278.868408,126512
2020-06-24,1308.500000,1308.500000,1275.000000,1281.349976,1263.047607,90317
2020-06-25,1280.000000,1290.000000,1238.800049,1261.150024,1243.136230,87600
2020-06-26,1270.000000,1328.949951,1265.550049,1296.500000,1277.981323,263369
2020-06-29,1297.000000,1318.000000,1275.000000,1296.849976,1278.326294,90756
2020-06-30,1315.000000,1315.000000,1280.000000,1283.050049,1264.723511,61584
2020-07-01,1288.000000,1306.550049,1265.000000,1298.699951,1280.149902,206827
2020-07-02,1298.699951,1309.300049,1285.000000,1297.699951,1279.164185,258938
2020-07-03,1304.000000,1306.000000,1290.099976,1295.099976,1276.601318,64345
2020-07-06,1306.000000,1315.000000,1295.000000,1299.800049,1281.234253,59898
2020-07-07,1308.699951,1367.400024,1298.250000,1349.800049,1330.520020,331518
2020-07-08,1336.750000,1394.000000,1336.000000,1390.050049,1384.037598,297254
2020-07-09,1399.000000,1430.000000,1397.000000,1406.300049,1400.217285,240767
2020-07-10,1400.000000,1439.900024,1390.000000,1411.699951,1405.593750,99149
2020-07-13,1429.000000,1457.099976,1420.050049,1439.000000,1432.775757,153471
2020-07-14,1444.300049,1467.500000,1425.000000,1439.250000,1433.024658,177879
2020-07-15,1450.250000,1476.000000,1436.050049,1460.300049,1453.983643,128640
2020-07-16,1480.000000,1517.949951,1428.000000,1441.699951,1435.463989,268125
2020-07-17,1386.000000,1404.750000,1341.150024,1380.599976,1374.628296,526150
2020-07-20,1360.000000,1415.199951,1351.250000,1410.349976,1404.249634,158841
2020-07-21,1410.349976,1460.000000,1410.349976,1443.199951,1436.957520,133860
2020-07-22,1410.000000,1439.949951,1406.000000,1415.900024,1409.775757,63668
2020-07-23,1415.000000,1432.800049,1389.349976,1399.400024,1393.347046,87516
2020-07-24,1397.949951,1449.400024,1380.449951,1439.500000,1433.273560,338325
2020-07-27,1439.500000,1457.849976,1405.000000,1432.849976,1426.652344,168367
2020-07-28,1435.000000,1472.000000,1435.000000,1455.300049,1449.005249,92342
2020-07-29,1455.300049,1523.000000,1445.000000,1493.650024,1487.189453,319850
2020-07-30,1505.000000,1530.000000,1493.099976,1504.150024,1497.644043,241608
2020-07-31,1524.000000,1524.000000,1473.500000,1511.349976,1504.812744,231823
2020-08-03,1500.000000,1544.000000,1500.000000,1534.949951,1528.310669,78516
2020-08-04,1550.000000,1588.949951,1511.000000,1517.599976,1511.035767,73143
2020-08-05,1529.650024,1538.000000,1506.500000,1532.650024,1526.020752,98878
2020-08-06,1539.650024,1564.949951,1530.500000,1561.849976,1555.094360,74729
2020-08-07,1563.000000,1625.000000,1550.000000,1592.949951,1586.059814,263761
2020-08-10,1604.000000,1636.949951,1594.699951,1630.199951,1623.148682,85839
2020-08-11,1630.199951,1653.000000,1581.650024,1589.750000,1582.873657,176501
2020-08-12,1589.750000,1597.949951,1552.800049,1569.150024,1562.362793,159308
2020-08-13,1575.000000,1606.949951,1575.000000,1594.699951,1587.802246,112215
2020-08-14,1585.000000,1617.099976,1551.050049,1564.900024,1558.131226,39864
2020-08-17,1570.000000,1588.000000,1526.800049,1545.199951,1538.516357,44095
2020-08-18,1545.050049,1594.000000,1545.050049,1588.199951,1581.330322,69345
2020-08-19,1590.000000,1606.500000,1589.000000,1600.199951,1593.278442,37075
2020-08-20,1590.000000,1615.000000,1565.000000,1580.650024,1573.813110,52330
2020-08-21,1581.099976,1612.699951,1573.550049,1604.550049,1597.609741,93948
2020-08-24,1612.000000,1631.900024,1574.900024,1579.550049,1572.717896,164561
2020-08-25,1596.900024,1596.900024,1518.650024,1545.000000,1538.317261,122075
2020-08-26,1559.000000,1559.000000,1521.199951,1540.550049,1533.886597,89898
2020-08-27,1549.000000,1564.500000,1530.000000,1538.050049,1531.397339,77022
2020-08-28,1544.500000,1559.000000,1525.050049,1534.650024,1528.012085,81092
2020-08-31,1540.000000,1585.000000,1508.000000,1565.150024,1558.380127,105158
2020-09-01,1585.000000,1585.000000,1512.000000,1534.500000,1527.862671,99410
2020-09-02,1549.150024,1563.699951,1515.150024,1528.900024,1522.286987,133326
2020-09-03,1539.900024,1612.000000,1536.500000,1577.699951,1570.875732,179443
2020-09-04,1545.000000,1582.500000,1538.750000,1563.000000,1556.239380,54791
